year,month,weekday,date,trip_length_raw,rideable_type_classic_bike,rideable_type_docked_bike,rideable_type_electric_bike,member_casual_casual,member_casual_member
2022,1,4,1/4/2022,0.002048611,0,0,1,1,0
2022,1,1,1/1/2022,0.003020833,0,0,1,1,0
2022,1,2,1/2/2022,0.003020833,1,0,0,0,1
2022,1,2,1/2/2022,0.01037037,1,0,0,1,0
2022,1,4,1/4/2022,0.004189815,1,0,0,0,1
2022,1,2,1/2/2022,0.002337963,1,0,0,0,1
2022,1,7,1/7/2022,0.01150463,1,0,0,0,1
2022,1,6,1/6/2022,0.00837963,1,0,0,0,1
2022,1,1,1/1/2022,0.017673611,0,0,1,0,1
2022,1,5,1/5/2022,0.005127315,1,0,0,0,1
2022,1,2,1/2/2022,0.004409722,1,0,0,0,1
2022,1,6,1/6/2022,0.008576389,0,0,1,0,1
2022,1,7,1/7/2022,0.006481481,1,0,0,0,1
2022,1,4,1/4/2022,0.004780093,1,0,0,0,1
2022,1,6,1/6/2022,0.006944444,0,0,1,1,0
2022,1,5,1/5/2022,0.00037037,1,0,0,0,1
2022,1,3,1/3/2022,0.001157407,1,0,0,0,1
2022,1,1,1/1/2022,0.003506944,1,0,0,0,1
2022,1,5,1/5/2022,0.003414352,1,0,0,0,1
2022,1,3,1/3/2022,0.006435185,1,0,0,0,1
2022,1,1,1/1/2022,0.017939815,1,0,0,0,1
2022,1,4,1/4/2022,0.016087963,1,0,0,0,1
2022,1,2,1/2/2022,0.003287037,0,0,1,1,0
2022,1,2,1/2/2022,0.009756944,1,0,0,0,1
2022,1,1,1/1/2022,0.00494213,0,0,1,0,1
2022,1,6,1/6/2022,0.007511574,1,0,0,0,1
2022,1,1,1/1/2022,0.003564815,0,0,1,1,0
2022,1,1,1/1/2022,0.004710648,1,0,0,0,1
2022,1,6,1/6/2022,0.0053125,1,0,0,0,1
2022,1,1,1/1/2022,0.016666667,1,0,0,0,1
2022,1,4,1/4/2022,0.00744213,0,0,1,1,0
2022,1,2,1/2/2022,0.017986111,0,0,1,0,1
2022,1,4,1/4/2022,0.006585648,1,0,0,0,1
2022,1,6,1/6/2022,0.005185185,0,0,1,0,1
2022,1,5,1/5/2022,0.008668981,1,0,0,1,0
2022,1,4,1/4/2022,0.010266204,1,0,0,1,0
2022,1,3,1/3/2022,0.009398148,1,0,0,1,0
2022,1,6,1/6/2022,0.001840278,1,0,0,0,1
2022,1,3,1/3/2022,0.006342593,0,0,1,0,1
2022,1,3,1/3/2022,0.001851852,1,0,0,0,1
2022,1,2,1/2/2022,0.001909722,1,0,0,0,1
2022,1,4,1/4/2022,0.011770833,1,0,0,0,1
2022,1,6,1/6/2022,0.010925926,1,0,0,0,1
2022,1,3,1/3/2022,0.027094907,1,0,0,0,1
2022,1,2,1/2/2022,0.005416667,1,0,0,0,1
2022,1,3,1/3/2022,0.004988426,1,0,0,0,1
2022,1,7,1/7/2022,0.00931713,1,0,0,1,0
2022,1,4,1/4/2022,0.003113426,1,0,0,0,1
2022,1,1,1/1/2022,0.008587963,1,0,0,0,1
2022,1,3,1/3/2022,0.001053241,1,0,0,0,1
2022,1,1,1/1/2022,0.004756944,1,0,0,0,1
2022,1,2,1/2/2022,0.004178241,1,0,0,0,1
2022,1,2,1/2/2022,0.00912037,0,0,1,1,0
2022,1,1,1/1/2022,0.006157407,0,0,1,0,1
2022,1,1,1/1/2022,0.00443287,1,0,0,0,1
2022,1,5,1/5/2022,0.011215278,1,0,0,1,0
2022,1,6,1/6/2022,0.007141204,0,0,1,0,1
2022,1,4,1/4/2022,0.004930556,0,0,1,0,1
2022,1,6,1/6/2022,0.003541667,0,0,1,0,1
2022,1,6,1/6/2022,0.005474537,1,0,0,0,1
2022,1,6,1/6/2022,0.00619213,1,0,0,0,1
2022,1,6,1/6/2022,0.011215278,0,0,1,0,1
2022,1,4,1/4/2022,0.002997685,1,0,0,0,1
2022,1,6,1/6/2022,0.007303241,0,0,1,0,1
